Date,SubscriptionId,SubscriptionName,ResourceGroup,ResourceId,ServiceName,ResourceName,Location,Cost,Currency,ChargeType
2026-09-07,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-data,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-data/providers/Microsoft.Sql/servers/finopsiq-sql/databases/finopsiq-db,SQL Database,finopsiq-db,East US,3.05,USD,Usage
2026-09-07,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-data,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-data/providers/Microsoft.DocumentDB/databaseAccounts/finopsiq-cosmos,Cosmos DB,finopsiq-cosmos,East US,1.8,USD,Usage
2026-09-07,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-network,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-network/providers/Microsoft.Network/publicIPAddresses/finopsiq-ip,Bandwidth,finopsiq-ip,East US,0.95,USD,Usage
2026-09-08,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Compute/virtualMachines/finopsiq-vm,Virtual Machines,finopsiq-vm,East US,4.28,USD,Usage
2026-09-08,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Storage/storageAccounts/finopsiqstorage,Storage,finopsiqstorage,East US,1.38,USD,Usage
2026-09-08,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Web/sites/finopsiq-api,App Service,finopsiq-api,East US,2.14,USD,Usage
2026-09-08,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-data,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-data/providers/Microsoft.Sql/servers/finopsiq-sql/databases/finopsiq-db,SQL Database,finopsiq-db,East US,3.11,USD,Usage
2026-09-08,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-data,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-data/providers/Microsoft.DocumentDB/databaseAccounts/finopsiq-cosmos,Cosmos DB,finopsiq-cosmos,East US,1.84,USD,Usage
2026-09-08,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-network,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-network/providers/Microsoft.Network/publicIPAddresses/finopsiq-ip,Bandwidth,finopsiq-ip,East US,0.97,USD,Usage
2026-09-09,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Compute/virtualMachines/finopsiq-vm,Virtual Machines,finopsiq-vm,East US,4.07,USD,Usage
2026-09-09,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Storage/storageAccounts/finopsiqstorage,Storage,finopsiqstorage,East US,1.31,USD,Usage
2026-09-09,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Web/sites/finopsiq-api,App Service,finopsiq-api,East US,2.04,USD,Usage
2026-09-09,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-data,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-data/providers/Microsoft.Sql/servers/finopsiq-sql/databases/finopsiq-db,SQL Database,finopsiq-db,East US,2.96,USD,Usage
2026-09-09,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-data,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-data/providers/Microsoft.DocumentDB/databaseAccounts/finopsiq-cosmos,Cosmos DB,finopsiq-cosmos,East US,1.75,USD,Usage
2026-09-09,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-network,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-network/providers/Microsoft.Network/publicIPAddresses/finopsiq-ip,Bandwidth,finopsiq-ip,East US,0.92,USD,Usage
2026-09-10,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Compute/virtualMachines/finopsiq-vm,Virtual Machines,finopsiq-vm,East US,4.37,USD,Usage
2026-09-10,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Storage/storageAccounts/finopsiqstorage,Storage,finopsiqstorage,East US,1.4,USD,Usage
2026-09-10,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Web/sites/finopsiq-api,App Service,finopsiq-api,East US,2.18,USD,Usage
2026-09-10,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-data,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-data/providers/Microsoft.Sql/servers/finopsiq-sql/databases/finopsiq-db,SQL Database,finopsiq-db,East US,3.17,USD,Usage
2026-09-10,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-data,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-data/providers/Microsoft.DocumentDB/databaseAccounts/finopsiq-cosmos,Cosmos DB,finopsiq-cosmos,East US,1.87,USD,Usage
2026-09-10,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-network,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-network/providers/Microsoft.Network/publicIPAddresses/finopsiq-ip,Bandwidth,finopsiq-ip,East US,0.99,USD,Usage
2026-09-11,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Compute/virtualMachines/finopsiq-vm,Virtual Machines,finopsiq-vm,East US,6.72,USD,Usage
2026-09-11,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Storage/storageAccounts/finopsiqstorage,Storage,finopsiqstorage,East US,2.16,USD,Usage
2026-09-11,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Web/sites/finopsiq-api,App Service,finopsiq-api,East US,3.36,USD,Usage
2026-09-11,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-data,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-data/providers/Microsoft.Sql/servers/finopsiq-sql/databases/finopsiq-db,SQL Database,finopsiq-db,East US,4.88,USD,Usage
2026-09-11,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-data,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-data/providers/Microsoft.DocumentDB/databaseAccounts/finopsiq-cosmos,Cosmos DB,finopsiq-cosmos,East US,2.88,USD,Usage
2026-09-11,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-network,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-network/providers/Microsoft.Network/publicIPAddresses/finopsiq-ip,Bandwidth,finopsiq-ip,East US,1.52,USD,Usage
